Frequency	Mean Amplitude	Error Amplitude	Mean Phaseshift	Error  Phaseshift	Temperature	Error  Temperature
1.440000E+2	7.233304E-6	7.315681E-8	2.447033E+0	4.234384E-1	5.819979E+1	1.556466E-2
1.442500E+2	6.547916E-6	9.026050E-8	2.424329E+0	4.227943E-1	5.824086E+1	7.260249E-3
1.445000E+2	6.972044E-6	4.550939E-7	1.208179E+0	5.980884E-1	5.824086E+1	7.260249E-3
1.447500E+2	6.745640E-6	4.436520E-7	9.008303E-1	5.965910E-1	5.825113E+1	7.140866E-16
1.450000E+2	5.805340E-6	5.393665E-8	2.768498E+0	3.094645E-1	5.825113E+1	7.140866E-16
1.452500E+2	9.446632E-6	1.063235E-6	-1.033144E-1	5.935338E-1	5.825113E+1	7.140866E-16
1.455000E+2	5.204291E-6	9.953234E-8	-8.213164E-3	7.071318E-1	5.825113E+1	7.140866E-16
1.457500E+2	8.364197E-6	7.958927E-7	2.532601E-1	5.215582E-1	5.825883E+1	7.739451E-3
1.460000E+2	6.373130E-6	5.518254E-7	-1.070479E-2	5.479020E-1	5.825883E+1	7.739451E-3
1.462500E+2	4.925363E-6	5.764649E-7	-4.633217E-1	5.867252E-1	5.832044E+1	2.227026E-2
1.465000E+2	6.287888E-6	6.439940E-7	8.421706E-1	5.409982E-1	5.825113E+1	7.140866E-16
1.467500E+2	5.408705E-6	4.879422E-7	2.875656E-1	5.766038E-1	5.827423E+1	1.327039E-2
1.470000E+2	4.308069E-6	1.764846E-7	5.864479E-1	6.634682E-1	5.828963E+1	1.695629E-2
1.472500E+2	4.959111E-6	5.077667E-7	5.492734E-1	5.789622E-1	5.833584E+1	2.435161E-2
1.475000E+2	4.955661E-6	5.287173E-7	3.889915E-2	5.596732E-1	5.835124E+1	2.617720E-2
1.477500E+2	5.703146E-6	5.009659E-7	-2.485088E-1	4.372235E-1	5.840515E+1	3.115069E-2
1.480000E+2	5.101985E-6	4.718382E-7	3.097283E-1	5.155797E-1	5.851296E+1	3.693916E-2
1.482500E+2	5.436607E-6	6.689516E-7	2.794022E-1	5.782524E-1	5.865158E+1	3.906698E-2
1.485000E+2	3.861914E-6	2.465417E-7	-5.119667E-1	6.543347E-1	5.856687E+1	3.838643E-2
1.487500E+2	3.509303E-6	3.198100E-7	6.646832E-2	6.539417E-1	5.872089E+1	3.823007E-2
1.490000E+2	3.652236E-6	2.428369E-7	-2.149676E-4	6.919128E-1	5.864388E+1	3.908231E-2
1.492500E+2	3.195290E-6	9.240812E-8	1.174942E+0	6.264123E-1	5.879790E+1	3.571905E-2
1.495000E+2	3.432338E-6	1.771198E-7	2.837761E-1	6.845431E-1	5.895962E+1	2.227026E-2
1.497500E+2	3.019944E-6	1.898843E-7	4.307750E-3	6.450020E-1	5.880560E+1	3.536514E-2
1.500000E+2	2.556566E-6	9.695208E-8	6.294275E-1	6.532967E-1	5.858227E+1	3.865079E-2
1.502500E+2	2.905533E-6	3.344282E-7	-3.604349E-2	5.868317E-1	5.838975E+1	2.991476E-2
1.505000E+2	2.952289E-6	9.251288E-8	-2.881507E-1	6.813463E-1	5.832814E+1	2.334699E-2
1.507500E+2	2.632739E-6	7.576344E-8	2.977543E-1	6.938562E-1	5.835124E+1	2.617720E-2
